Title,Chapter,Article,Section,Content,Page (int)
INTRODUCTION,,,,"The USTP Student Handbook (2023 Edition) contains the policies and procedures for the academic and non-academic engagements of the students. 


TITLE ONE. VISION, MISSION, AND MORAL DUTY (Pages 1-4):

TITLE TWO. ACADEMIC REGULATIONS (Pages 5-67):

TITLE THREE. STUDENT RIGHTS (Pages 67-69):

TITLE FOUR. STUDENT CODE OF CONDUCT (Pages 69-85):

TITLE FIVE. STUDENT ORGANIZATIONS AND ACTIVITIES (Pages 86-107):

TITLE SIX. STUDENT SERVICES (Pages 107-119):

TITLE SEVEN. APPENDICES (Pages 120-161)
",Page: 1
INTRODUCTION,,,,"As primary constituents of this university, students are expected to rigorously follow all provisions in this handbook. It shall serve as a guide for all university stakeholders in bringing to life the university vision and mission of preparing the students to become lifelong learners and nation builders. 

This handbook was first approved by the Board on September 13, 2018, under BOR Resolution No. 62, s. 2018. In compliance with the provisions of the said resolution, this handbook was reviewed, revised, and approved by the Board on December 2, 2020, under BOR Resolution No. 168, s. 2020. Another revision was made in response to the university stakeholders/representatives. The revised policies approved by BOR under Resolution No. 53, s. 2023, are incorporated into this new edition 2023",Page: 1
"VISION, MISSION, AND MORAL DUTY","Chapter 1. Vision
",,,The University of Science and Technology of Southern Philippines (USTP) is a nationally-recognized Science and Technology University providing the vital link between education and the economy.,Page: 2
"VISION, MISSION, AND MORAL DUTY","Chapter 2. Mission",,,"The mission of the University is to: 
a) bring the world of work (industry) into the actual higher education and training of students; 
b) offer entrepreneurs the opportunity to maximize their business potentials through a gamut of services from product conceptualization to commercialization; 
c) contribute significantly to the National Development Goals of food security & safety and energy sufficiency & security through technology solutions.",Page: 2
"VISION, MISSION, AND MORAL DUTY","Chapter 3. USTP Seal and Color",,,The University is represented by its University colors and seal. ,Page: 2-3
"VISION, MISSION, AND MORAL DUTY","Chapter 3. USTP Seal and Color",,,The atomic particles in the seal reflect the University’s vision of being a nationally-recognized Science and Technology University providing the vital link between education and the economy. ,Page: 2-3
"VISION, MISSION, AND MORAL DUTY","Chapter 3. USTP Seal and Color",,,"They are shaped into a stylized map of the Mindanao islands, depicting the traditional weaving patterns to represent the rich and varied peoples and cultures of Southern Philippines. ",Page: 2-3
"VISION, MISSION, AND MORAL DUTY","Chapter 3. USTP Seal and Color",,,"The linked particles represent the strong community of students, staff, and faculty establishing strong linkages with other stakeholders such as the industry and the government, all committed to excellence in the field of Science and Technology with the goal of serving the greater community. ",Page: 2-3
"VISION, MISSION, AND MORAL DUTY","Chapter 3. USTP Seal and Color",,,The visual image of a sphere brings to mind the University’s goal of becoming a premier and globally competitive institution. ,Page: 2-3
"VISION, MISSION, AND MORAL DUTY","Chapter 3. USTP Seal and Color",,,"The University colors shall be navy blue, white and yellow. The color navy blue symbolizes importance, confidence, power, authority, intelligence, stability, and unity. The color white symbolizes purity, cleanliness, and peace. The color yellow is derived from the sun, which is an emblem of glory and brilliance. It also symbolizes hope, happiness, life, spirituality, and optimism.",Page: 2-3
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,"The USTP Graduate is an innovative and entrepreneurial thought leader and game changer in the academe and the world of work. S/he possesses the following Institutional Graduate Attributes: 

",Page: 3-4
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,1. Innovative Thinking – A USTP graduate generates new ideas or new ways of approaching things to create possibilities and opportunities. ,Page: 3-4
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,"2. Critical Thinking – A USTP graduate objectively examines a situation by gathering information from all possible sources and evaluates both the tangible and intangible aspects, as well as the implications of any course of action. 
",Page: 3-4
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,"3. Resilience – A USTP graduate thrives, grows, and develops competence in the face of adverse circumstances. 
",Page: 3-4
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,"4. Empathy – A USTP graduate identifies and understands another’s situation and feelings allowing for caring relationships as well as understanding and connecting with those who may be different. 
",Page: 3-4
"VISION, MISSION, AND MORAL DUTY","Chapter 4. Graduate Attributes",,,5. Teamwork and Collaboration – A USTP graduate works effectively and respectfully with diverse teams. This includes assuming shared responsibility for collaborative work and valuing the individual contributions made by each team member. ,Page: 3-4
